name,maker,work_title,series_name,character_name,genre,price,release_period,jan_code,official_url,image_url,source_checked_at
"クレヨンしんちゃん ふわふわフロッキードール","バンダイ","","","","ガシャポン","300","2026年7月","4582769836336000","https://gashapon.jp/products/detail.php?jan_code=4582769836336000","","2026-07-22"
"BUTTER Family ふわもこフォトホルダー","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y907340","","2026-07-22"
"こぼすシリーズ おみそしる-ネコ編-","キタンクラブ","","","","カプセルトイ","500","2026年7月中旬","","https://kitan.jp/products/kobosu_neko","","2026-07-22"
"bou -ボウ- そばにいてくれるぬいぐるみ","Qualia","","","","カプセルトイ","500","2026年7月","","https://www.qualia-45.jp/product/view/1967","","2026-07-22"
"名探偵プリキュア! なりきりプリキュア3","バンダイ","","","","ガシャポン","300","2026年7月","4570118183750000","https://gashapon.jp/products/detail.php?jan_code=4570118183750000","","2026-07-22"
"CHUMSおにぎりフレンズ つながリングチャーム","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y905803","","2026-07-22"
"ばあちゃんちの昭和レトロライト","キタンクラブ","","","","カプセルトイ","500","2026年7月上旬","","https://kitan.jp/products/baachan_retro","","2026-07-22"
"イタリアンブレインロット アクリルキーホルダー","Qualia","","","","カプセルトイ","300","2026年7月","","https://www.qualia-45.jp/product/view/1849","","2026-07-22"
"名探偵プリキュア! プリキュアマコトジュエルコレクション3","バンダイ","","","","ガシャポン","300","2026年7月","4570118183774000","https://gashapon.jp/products/detail.php?jan_code=4570118183774000","","2026-07-22"
"DUNG BEAT POSSE アクリルめじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月6日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y906855","","2026-07-22"
"What’s Michael? アクリルキーホルダー","キタンクラブ","","","","カプセルトイ","400","2026年6月下旬","","https://kitan.jp/products/whatsmaichael_a","","2026-07-22"
"いやしのペット シャカシャカアクリルキーホルダー","Qualia","","","","カプセルトイ","400","2026年7月","","https://www.qualia-45.jp/product/view/1963","","2026-07-22"
"“ディズニーキャラクター” Q posket(キューポスケット) ミニチュアコレクション2","バンダイ","","","","ガシャポン","500","2026年6月","4582769739293000","https://gashapon.jp/products/detail.php?jan_code=4582769739293000","","2026-07-22"
"onちゃんのフロッキーフィギュアだオン","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903977","","2026-07-22"
"えんぴつけずり森の家® ミニチュアマスコット","キタンクラブ","","","","カプセルトイ","500","2026年6月下旬","","https://kitan.jp/products/morinoie_enpitsu","","2026-07-22"
"ギーモ スタンドフィギュア","Qualia","","","","カプセルトイ","400","2026年7月","","https://www.qualia-45.jp/product/view/1964","","2026-07-22"
"【箱売】機動戦士ガンダム MOBILE SUIT ENSEMBLE 14","バンダイ","","","","ガシャポン","550","2026年6月","4549660488514000","https://gashapon.jp/products/detail.php?jan_code=4549660488514000","","2026-07-22"
"SR+ スパイダーマン -DELUXE EDITION-","タカラトミーアーツ","","","","ガチャ","500","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903472","","2026-07-22"
"サンリオキャラクターズ ダンボールウォッチ3","キタンクラブ","","","","カプセルトイ","500","2026年6月下旬","","https://kitan.jp/products/sanrio_watch3","","2026-07-22"
"なかよしラッコ フロッキーキーホルダー","Qualia","","","","カプセルトイ","400","2026年7月","","https://www.qualia-45.jp/product/view/1957","","2026-07-22"
"capsule flockies TOM and JERRY","バンダイ","","","","ガシャポン","400","2026年6月","4582769911651000","https://gashapon.jp/products/detail.php?jan_code=4582769911651000","","2026-07-22"
"あそべる生物フィギュアシリーズ ガチャアクション THE恐竜 太古からのメッセージ","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y902062","","2026-07-22"
"ひまのかたまり ひま太郎 毛糸であそぼうフィギュア","キタンクラブ","","","","カプセルトイ","500","2026年6月下旬","","https://kitan.jp/products/himataro_figure","","2026-07-22"
"にっこりーノ 日本妖怪のぬいぐるみ","Qualia","","","","カプセルトイ","400","2026年7月","","https://www.qualia-45.jp/product/view/1852","","2026-07-22"
"duolingo めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年6月","4582769775666000","https://gashapon.jp/products/detail.php?jan_code=4582769775666000","","2026-07-22"
"おいんぼいん ふわふわてんしちゃん めじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y901119","","2026-07-22"
"ムキムキのハムちゃん フィギュアマスコット2","キタンクラブ","","","","カプセルトイ","400","2026年6月下旬","","https://kitan.jp/products/mkmkhamuchan_2","","2026-07-22"
"洗われた猫 ぬいぐるみ","Qualia","","","","カプセルトイ","500","2026年7月","","https://www.qualia-45.jp/product/view/1969","","2026-07-22"
"LITTLE NIGHTMARES めじるしアクセサリー","バンダイ","","","","ガシャポン","400","2026年6月","4582769700903000","https://gashapon.jp/products/detail.php?jan_code=4582769700903000","","2026-07-22"
"お勉強タイムFig. ハイキュー!!","タカラトミーアーツ","","","","ガチャ","500","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y900648","","2026-07-22"
"通勤ねこ マスコットボールチェーン(第一弾)","Qualia","","","","カプセルトイ","300","2026年7月","","https://www.qualia-45.jp/product/view/1544","","2026-07-22"
"LOVOT [らぼっと] めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年6月","4582769682148000","https://gashapon.jp/products/detail.php?jan_code=4582769682148000","","2026-07-22"
"かえるの合唱団♪","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903885","","2026-07-22"
"木彫りのネコのペンおき®","Qualia","","","","カプセルトイ","400","2026年7月","","https://www.qualia-45.jp/product/view/1961","","2026-07-22"
"ギャルなクレヨンしんちゃん","バンダイ","","","","ガシャポン","300","2026年6月","4582769898518000","https://gashapon.jp/products/detail.php?jan_code=4582769898518000","","2026-07-22"
"くまのプーさん Hide&Seek かくれんぼフィギュア","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月6日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903137","","2026-07-22"
"ダッシュはにわ プルバックフィギュア","Qualia","","","","カプセルトイ","400","2026年6月","","https://www.qualia-45.jp/product/view/1945","","2026-07-22"
"クレヨンしんちゃん カラフルマルチチャーム","バンダイ","","","","ガシャポン","300","2026年6月","4582769917271000","https://gashapon.jp/products/detail.php?jan_code=4582769917271000","","2026-07-22"
"サンリオキャラクターズ くるくるヘアカーラーフィギュア","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y905940","","2026-07-22"
"リアル恐竜ヘッドコレクション","Qualia","","","","カプセルトイ","500","2026年6月","","https://www.qualia-45.jp/product/view/1692","","2026-07-22"
"サンリオキャラクターズ ナーススイングマスコット","バンダイ","","","","ガシャポン","300","2026年6月","4582769832444000","https://gashapon.jp/products/detail.php?jan_code=4582769832444000","","2026-07-22"
"サンリオキャラクターズ もこもこパンダフロッキーマスコット","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月6日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903649","","2026-07-22"
"羽付き餃子 マスコットボールチェーン","Qualia","","","","カプセルトイ","300","2026年6月","","https://www.qualia-45.jp/product/view/1946","","2026-07-22"
"ズートピア2 めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年6月","4582769898105000","https://gashapon.jp/products/detail.php?jan_code=4582769898105000","","2026-07-22"
"ソウルイーター ピンズコレクション","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y904387","","2026-07-22"
"木彫りのべこ2 マスコットフィギュア","Qualia","","","","カプセルトイ","400","2026年6月","","https://www.qualia-45.jp/product/view/1947","","2026-07-22"
"ドラゴンボール めじるしアクセサリー3","バンダイ","","","","ガシャポン","300","2026年6月","4582769927843000","https://gashapon.jp/products/detail.php?jan_code=4582769927843000","","2026-07-22"
"つながリングチャーム やさいのようせい","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y905483","","2026-07-22"
"どこのこ?ナンのこ ぬいぐるみマスコット","Qualia","","","","カプセルトイ","400","2026年5月","","https://www.qualia-45.jp/product/view/1926","","2026-07-22"
"なめこ栽培キット めじるしアクセサリー2","バンダイ","","","","ガシャポン","300","2026年6月","4582769935558000","https://gashapon.jp/products/detail.php?jan_code=4582769935558000","","2026-07-22"
"つながリングチャーム ワーリーフレンズ","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y905988","","2026-07-22"
"まんぷくdeスプーン マスコットフィギュア","Qualia","","","","カプセルトイ","300","2026年5月","","https://www.qualia-45.jp/product/view/1927","","2026-07-22"
"ノンタン めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年6月","4582769842009000","https://gashapon.jp/products/detail.php?jan_code=4582769842009000","","2026-07-22"
"ディズニープリンセス バニティバックチャーム","タカラトミーアーツ","","","","ガチャ","300","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y904820","","2026-07-22"
"推しカツ マスコットフィギュア","Qualia","","","","カプセルトイ","300","2026年5月","","https://www.qualia-45.jp/product/view/1928","","2026-07-22"
"パワーパフ ガールズ ブリスターチャーム コレクション","バンダイ","","","","ガシャポン","400","2026年6月","4582769911477000","https://gashapon.jp/products/detail.php?jan_code=4582769911477000","","2026-07-22"
"トップハム・ハット卿 めじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y903182","","2026-07-22"
"イタリアンブレインロット アクリルキーホルダー2","Qualia","","","","カプセルトイ","300","2026年4月","","https://www.qualia-45.jp/product/view/1903","","2026-07-22"
"めじるしアクセサリー サンリオキャラクターズオールスターズ Part.1","バンダイ","","","","ガシャポン","300","2026年6月","4582769745973000","https://gashapon.jp/products/detail.php?jan_code=4582769745973000","","2026-07-22"
"トミカ BOX型シリコンポーチ","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月6日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y907647","","2026-07-22"
"エイエイオー マスコットフィギュア","Qualia","","","","カプセルトイ","300","2026年4月","","https://www.qualia-45.jp/product/view/1893","","2026-07-22"
"めじるしアクセサリー サンリオキャラクターズオールスターズ Part.2","バンダイ","","","","ガシャポン","300","2026年6月","4582769745980000","https://gashapon.jp/products/detail.php?jan_code=4582769745980000","","2026-07-22"
"トムとジェリー 天使と悪魔めじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y901508","","2026-07-22"
"ゴリランドセル おんなのこバージョン マスコットフィギュア3","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1901","","2026-07-22"
"メゾピアノ×ハローキティ カプセルラバーマスコット","バンダイ","","","","ガシャポン","300","2026年6月","4582769916700000","https://gashapon.jp/products/detail.php?jan_code=4582769916700000","","2026-07-22"
"ハリー・ポッター/ファンタスティック・ビースト 魔法生物 めじるしガチャマスコット","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月13日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y904271","","2026-07-22"
"にっこりーノ キャンプのぬいぐるみ2 ニューカラーバージョン","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1906","","2026-07-22"
"モリゾーとキッコロ めじるしアクセサリー","バンダイ","","","","ガシャポン","300","2026年6月","4582769911538000","https://gashapon.jp/products/detail.php?jan_code=4582769911538000","","2026-07-22"
"ブルーイ カメラ型プロジェクター","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月20日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y900853","","2026-07-22"
"にっこりーノ 雨の日のぬいぐるみ","Qualia","","","","カプセルトイ","400","2026年4月","","https://www.qualia-45.jp/product/view/1905","","2026-07-22"
"るかっぷ ミニチュアコレクション 呪術廻戦","バンダイ","","","","ガシャポン","500","2026年6月","4535123846069000","https://gashapon.jp/products/detail.php?jan_code=4535123846069000","","2026-07-22"
"ポケモン とことこポッチャマ","タカラトミーアーツ","","","","ガチャ","400","2026年7月(7月6日週発売)","","https://www.takaratomy-arts.co.jp/items/item.html?n=Y094156","","2026-07-22"
