name,chain_name,prefecture,address,latitude,longitude,category,business_hours,official_url,source_checked_at
"ガチャガチャの森 イオンモール仙台上杉店","ガチャガチャの森","宮城県","宮城県仙台市青葉区堤通雨宮町1-1 イオンモール仙台上杉3F","38.2767910","140.8716430","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール石巻店","ガチャガチャの森","宮城県","宮城県石巻市茜平四丁目104番地 イオンモール石巻2F","38.4479370","141.2662960","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール新利府南館店","ガチャガチャの森","宮城県","宮城県宮城郡利府町新中道3丁目1-1 イオンモール新利府南館3F","38.3226200","140.9723510","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon! イオンモール新利府南館店","Pon!","宮城県","宮城県宮城郡利府町新中道3丁目1-1 イオンモール新利府南館3F","38.3226200","140.9723510","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 新宿サブナードEAST店","ガチャガチャの森","東京都","東京都新宿区歌舞伎町1丁目靖国通り下 新宿サブナード地下街内C-15号、C-21号","35.6953930","139.7012940","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 自由が丘店","ガチャガチャの森","東京都","東京都世田谷区奥沢5-26-12 XAREA自由が丘1F","35.6067770","139.6694490","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 西友荻窪店","ガチャガチャの森","東京都","東京都杉並区上荻1-9-1 タウンセブン西友荻窪店7F","35.7052230","139.6198120","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 八王子オーパ店","ガチャガチャの森","東京都","東京都八王子市旭町1-12 八王子オーパ4F","35.6557960","139.3362120","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 ビックカメラ立川店","ガチャガチャの森","東京都","東京都立川市曙町2-12-2 ビックカメラ立川店7F","35.6993220","139.4143370","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 小田急百貨店町田店","ガチャガチャの森","東京都","東京都町田市原町田6丁目12-20 小田急百貨店町田店8F","35.5443120","139.4455570","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
