name,chain_name,prefecture,address,latitude,longitude,category,business_hours,official_url,source_checked_at
"ガシャポンのデパート 池袋総本店","ガシャポンのデパート","東京都","東京都豊島区東池袋3-1-3 ワールドインポートマートビル3F","35.7278440","139.7199860","ガチャ専門店","","https://gashapon.jp/shop/","2026-07-18"
"ガシャポンのデパート 横浜ワールドポーターズ店","ガシャポンのデパート","神奈川県","神奈川県横浜市中区新港2-2-1 横浜ワールドポーターズ2F","35.4539870","139.6388550","ガチャ専門店","","https://gashapon.jp/shop/","2026-07-18"
"ガシャポンのデパート イオンモールKYOTO店","ガシャポンのデパート","京都府","京都府京都市南区西九条鳥居口町1 イオンモールKYOTO4F","34.9827190","135.7545320","ガチャ専門店","","https://gashapon.jp/shop/","2026-07-18"
"ガシャポンのデパート キャナルシティ博多店","ガシャポンのデパート","福岡県","福岡県福岡市博多区住吉1-2-74 キャナルシティ博多サウスビルB1F","33.5890850","130.4102330","ガチャ専門店","","https://gashapon.jp/shop/","2026-07-18"
"ガチャガチャの森 moyuk SAPPORO店","ガチャガチャの森","北海道","北海道札幌市中央区南2条西3丁目20番地 moyuk SAPPORO B1F","43.0579490","141.3535000","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 BiVi新さっぽろ店","ガチャガチャの森","北海道","北海道札幌市厚別区厚別中央1条6丁目3番3号 BiVi新さっぽろ2F","43.0389140","141.4741670","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール盛岡南店","ガチャガチャの森","岩手県","岩手県盛岡市本宮7-1-1 イオンモール盛岡南3F","39.6841280","141.1289220","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール名取店","ガチャガチャの森","宮城県","宮城県名取市杜せきのした5丁目3番地の1 イオンモール名取3F","38.1637310","140.8957820","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 新宿サブナード店","ガチャガチャの森","東京都","東京都新宿区歌舞伎町1丁目靖国通り下 新宿サブナード地下街401区画","35.6953930","139.7012940","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 オリナス錦糸町店","ガチャガチャの森","東京都","東京都墨田区太平4-1-2 オリナス錦糸町3F","35.7001950","139.8148960","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
