name,chain_name,prefecture,address,latitude,longitude,category,business_hours,official_url,source_checked_at
"ガシャポンのデパート 秋葉原店","ガシャポンのデパート","東京都","東京都千代田区外神田1丁目15-9 4階","35.6980094","139.7724164","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000847","2026-07-18"
"ガシャポンのデパート イトーヨーカドー木場店","ガシャポンのデパート","東京都","東京都江東区木場1-5-30 2F","35.6655840","139.8046592","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000577","2026-07-18"
"ガシャポンのデパート 浅草花やしき店","ガシャポンのデパート","東京都","東京都台東区浅草2-28-1 浅草花やしき (園外)※入園無料エリア","35.7154020","139.7939186","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000569","2026-07-18"
"ガシャポンのデパート イトーヨーカドーアリオ北砂店","ガシャポンのデパート","東京都","東京都江東区北砂2-17-1","35.6825292","139.8256137","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000787","2026-07-18"
"ガシャポンのデパート 王子サンスクエア店","ガシャポンのデパート","東京都","東京都北区王子1-4-1 サンスクエア 2F namco内","35.7529261","139.7388576","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000227","2026-07-18"
"ガシャポンのデパート イトーヨーカドー大井町店","ガシャポンのデパート","東京都","東京都品川区大井1-3-6 5F","35.6071707","139.7339881","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000734","2026-07-18"
"ガシャポンのデパート BIG FUN平和島店","ガシャポンのデパート","東京都","東京都大田区平和島1-1-1　ＢＩＧ ＦＵＮ平和島","35.5843408","139.7407983","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000973","2026-07-18"
"本屋さんのガシャポンのデパート 文教堂練馬高野台店","ガシャポンのデパート","東京都","東京都練馬区高野台1-7-17　ピーコックストア高野台店2F","35.7412661","139.6170756","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90001465","2026-07-18"
"ガシャポンのデパート グランツリー武蔵小杉店","ガシャポンのデパート","神奈川県","神奈川県川崎市中原区新丸子東3-1135-1 4F","35.5737358","139.6602316","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000588","2026-07-18"
"ガシャポンのデパート 松戸店","ガシャポンのデパート","千葉県","千葉県松戸市松戸1230-1 ピアザ松戸1F＆B1F","35.7836203","139.9008972","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000214","2026-07-18"
"ガシャポンのデパート ラゾーナ川崎店","ガシャポンのデパート","神奈川県","神奈川県川崎市幸区堀川町72-1 LAZONA川崎プラザ 4F namcoラゾーナ川崎内","35.5325201","139.6958714","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000334","2026-07-18"
"本屋さんのガシャポンのデパート TSUTAYA BOOKSTORE 川崎駅前店","ガシャポンのデパート","神奈川県","神奈川県川崎市川崎区駅前本町8 ダイスビル5F","35.5311654","139.7001349","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000781","2026-07-18"
"ガシャポンのデパート イオンモール北戸田店","ガシャポンのデパート","埼玉県","埼玉県戸田市美女木東1-3-1　イオンモール北戸田3F","35.8263372","139.6528514","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000222","2026-07-18"
"ガシャポンのデパート トレッサ横浜店（最終営業日2026年5月10日）","ガシャポンのデパート","神奈川県","神奈川県横浜市港北区師岡町700 トレッサ横浜南棟3F","35.5254349","139.6457832","ガチャ専門店","","https://gashapon.jp/shop/shop.php?shop_code=S90000228","2026-07-18"
